"";"SEXO";"IdadeT";"ICSAPn";"ITn";"ICSAPprop"
"209";3;97;1145;2518;0,45472597299444
"210";3;98;822;1891;0,434690639873083
"211";3;99;725;1615;0,448916408668731
"212";3;100;560;1274;0,43956043956044
"213";3;101;258;605;0,426446280991736
"214";3;102;217;500;0,434
"215";3;103;246;519;0,473988439306358
"216";3;104;153;378;0,404761904761905
"217";3;105;96;223;0,430493273542601
"218";3;106;50;100;0,5
"219";3;107;31;77;0,402597402597403
"220";3;108;20;48;0,416666666666667
"221";3;109;22;48;0,458333333333333
"222";3;110;26;86;0,302325581395349
"223";3;112;0;1;0
