"";"COD7D";"COD6D";"Municipio";"population.Amarela";"icsap_n.Amarela";"it_n.Amarela";"icsap_prop.Amarela";"icsap_rate.Amarela";"population.Branca";"icsap_n.Branca";"it_n.Branca";"icsap_prop.Branca";"icsap_rate.Branca";"population.Indígena";"icsap_n.Indígena";"it_n.Indígena";"icsap_prop.Indígena";"icsap_rate.Indígena";"population.NI";"icsap_n.NI";"it_n.NI";"icsap_prop.NI";"icsap_rate.NI";"population.Parda";"icsap_n.Parda";"it_n.Parda";"icsap_prop.Parda";"icsap_rate.Parda";"population.Preta";"icsap_n.Preta";"it_n.Preta";"icsap_prop.Preta";"icsap_rate.Preta";"ICSAPprop";"ICSAPrate";"icsap_prop_ratio_amarela";"icsap_prop_ratio_branca";"icsap_prop_ratio_indigena";"icsap_prop_ratio_ni";"icsap_prop_ratio_parda";"icsap_prop_ratio_preta";"icsap_rate_ratio_amarela";"icsap_rate_ratio_branca";"icsap_rate_ratio_indigena";"icsap_rate_ratio_ni";"icsap_rate_ratio_parda";"icsap_rate_ratio_preta"
"3130";"3202652";"320265";"Irupi (ES)";62;0;0;NA;0;6808;120;301;0,398671096345515;176,263219741481;9;0;0;NA;0;0;7;54;0,12962962962963;Inf;4239;125;234;0,534188034188034;294,880868129276;605;38;71;0,535211267605634;628,099173553719;0,439393939393939;247,376951292331;NA;0,907320426165656;NA;0,295019157088123;1,2157382847038;1,21806702282662;0;0,712528870699786;0;Inf;1,19203048864811;2,53903676261043
"3131";"3202702";"320270";"Itaguaçu (ES)";69;0;0;NA;0;7545;15;152;0,0986842105263158;19,8807157057654;22;0;0;NA;0;0;199;533;0,373358348968105;Inf;5728;11;111;0,0990990990990991;19,2039106145251;770;1;9;0,111111111111111;12,987012987013;0,280745341614907;159,898118013301;NA;0,351507918025151;NA;1,32988261468728;0,352985729091924;0,395771878072763;0;0,124333644152783;0;Inf;0,120100917091017;0,0812205493621424
"3132";"3202801";"320280";"Itapemirim (ES)";181;0;1;0;0;15139;290;812;0,357142857142857;191,558227095581;26;19;31;0,612903225806452;7307,69230769231;0;31;260;0,119230769230769;Inf;13813;33;205;0,160975609756098;23,8905378990806;1829;73;133;0,548872180451128;399,125205030071;0,309292649098474;143,926681295986;0;1,15470852017937;1,98162881527557;0,385494998275268;0,52046374275402;1,77460467311777;0;1,33094312583808;50,7737150741633;Inf;0,165991028792984;2,77311476535242
"3133";"3202900";"320290";"Itarana (ES)";15;0;0;NA;0;6911;239;486;0,491769547325103;345,825495586746;7;0;2;0;0;0;11;68;0,161764705882353;Inf;3526;88;160;0,55;249,574588769143;422;4;4;1;94,7867298578199;0,475;314,309346567411;NA;1,03530431015811;0;0,340557275541796;1,15789473684211;2,10526315789474;0;1,10027111622204;0;Inf;0,794041257426038;0,301571464205538
"3134";"3203007";"320300";"Iúna (ES)";202;0;0;NA;0;14363;611;1093;0,559011893870082;425,398593608578;23;0;0;NA;0;0;33;201;0,164179104477612;Inf;10786;424;796;0,532663316582915;393,102169478954;1954;154;233;0,660944206008584;788,126919140225;0,5260439087387;447,160421545667;NA;1,06267154620311;NA;0,312101521850649;1,01258337514084;1,25644303646313;0;0,951333286917776;0;Inf;0,879107699469793;1,76251493013618
"3135";"3203056";"320305";"Jaguaré (ES)";252;0;1;0;0;8461;9;111;0,0810810810810811;10,6370405389434;58;2;6;0,333333333333333;344,827586206897;0;15;164;0,0914634146341463;Inf;12816;47;389;0,120822622107969;36,6729088639201;3091;8;40;0,2;25,8815917178907;0,113924050632911;32,8227571115974;0;0,711711711711714;2,92592592592594;0,802845528455287;1,06055412739218;1,75555555555556;0;0,324075168419808;10,5057471264368;Inf;1,1173012900541;0,788525827671735
"3136";"3203106";"320310";"Jerônimo Monteiro (ES)";51;0;1;0;0;5648;117;380;0,307894736842105;207,152974504249;3;0;0;NA;0;0;24;137;0,175182481751825;Inf;4033;66;197;0,33502538071066;163,649888420531;1144;23;92;0,25;201,048951048951;0,285006195786865;211,416490486258;0;1,08030892448513;NA;0,614662012059664;1,1755020966674;0,877173913043478;0;0,979833569405099;0;Inf;0,77406397222911;0,950961538461538
"3137";"3203130";"320313";"João Neiva (ES)";66;0;0;NA;0;7580;7;56;0,125;9,23482849604222;19;0;0;NA;0;0;352;878;0,400911161731207;Inf;7205;1;53;0,0188679245283019;1,38792505204719;939;1;3;0,333333333333333;10,6496272630458;0,364646464646465;228,350939338352;NA;0,342797783933518;NA;1,09945166236536;0,051743061725814;0,914127423822714;0;0,0404413860648009;0;Inf;0,0060780352210011;0,0466371073134323
"3138";"3203163";"320316";"Laranja da Terra (ES)";34;0;1;0;0;7840;45;299;0,150501672240803;57,3979591836735;4;0;0;NA;0;0;10;75;0,133333333333333;Inf;2493;23;88;0,261363636363636;92,2583233052547;455;7;20;0,35;153,846153846154;0,175983436853002;78,5146868649547;0;0,855203619909503;NA;0,75764705882353;1,48516042780749;1,98882352941177;0;0,731047418967587;0;Inf;1,17504542129728;1,95945701357466
"3139";"3203205";"320320";"Linhares (ES)";1013;0;1;0;0;50656;147;751;0,195739014647137;29,0192672141503;303;0;0;NA;0;0;355;2946;0,120502376103191;Inf;77145;827;3054;0,27079240340537;107,200725905762;12189;20;70;0,285714285714286;16,4082369349413;0,197742597478745;95,4665760831104;0;0,989867722700349;NA;0,609390073962912;1,36941866273642;1,44487980514667;0;0,303973059522812;0;Inf;1,12291369717121;0,171874153323115
"3140";"3203304";"320330";"Mantenópolis (ES)";91;0;0;NA;0;4048;24;69;0,347826086956522;59,2885375494071;9;0;0;NA;0;0;10;79;0,126582278481013;Inf;8714;424;834;0,508393285371703;486,573330273124;750;8;18;0,444444444444444;106,666666666667;0,466;342,344989714957;NA;0,746407911923866;NA;0,271635790731787;1,09097271538992;0,953743443013829;0;0,173183599382517;0;Inf;1,42129531581068;0,311576537911302
"3141";"3203320";"320332";"Marataízes (ES)";152;0;0;NA;0;20363;321;998;0,321643286573146;157,638854785641;25;22;35;0,628571428571429;8800;0;39;329;0,11854103343465;Inf;12197;44;257;0,171206225680934;36,0744445355415;1403;44;135;0,325925925925926;313,613684960798;0,267958950969213;137,668424135911;NA;1,20034537159425;2,34577507598784;0,442385048179526;0,638927063498634;1,21632781717888;0;1,1450618090174;63,9217021276596;Inf;0,262038624775189;2,27803642650248
"3142";"3203346";"320334";"Marechal Floriano (ES)";74;0;2;0;0;8411;69;274;0,251824817518248;82,035429794317;31;0;0;NA;0;0;7;145;0,0482758620689655;Inf;4731;25;142;0,176056338028169;52,8429507503699;1015;7;12;0,583333333333333;68,9655172413793;0,187826086956522;75,7257046697518;0;1,34073398215734;NA;0,257024265644955;0,937336984872195;3,10570987654321;0;1,08332342567273;0;Inf;0,697820521853496;0,910727969348659
"3143";"3203353";"320335";"Marilândia (ES)";17;0;0;NA;0;6695;21;136;0,154411764705882;31,3666915608663;11;0;0;NA;0;0;13;100;0,13;Inf;3973;5;82;0,0609756097560976;12,5849484017116;411;4;23;0,173913043478261;97,323600973236;0,126099706744868;38,714324299991;NA;1,22452120383037;NA;1,03093023255814;0,483550765740216;1,37917087967644;0;0,81020893759661;0;Inf;0,325072143948396;2,51389124653426
"3144";"3203403";"320340";"Mimoso do Sul (ES)";254;1;2;0,5;39,3700787401575;11751;227;767;0,295958279009126;193,175048932006;37;0;0;NA;0;0;32;172;0,186046511627907;Inf;11060;211;586;0,360068259385666;190,777576853526;2800;75;187;0,401069518716578;267,857142857143;0,31855309218203;210,794533240676;1,56959706959707;0,929070494911435;NA;0,584036118919841;1,13032416957332;1,2590350825645;0,186769922990396;0,916413940922495;0;Inf;0,905040438765576;1,27070251177394
"3145";"3203502";"320350";"Montanha (ES)";85;0;2;0;0;5237;223;435;0,512643678160919;425,816307046019;30;2;3;0,666666666666667;666,666666666667;0;10;83;0,120481927710843;Inf;11324;400;921;0,434310532030402;353,232073472271;1173;60;108;0,555555555555556;511,50895140665;0,447809278350515;389,377556165612;0;1,14478127842554;1,48872901678657;0,269047412672272;0,96985603699451;1,24060751398881;0;1,09358205244092;1,71213429256594;Inf;0,907171119339074;1,31365802498666
"3146";"3203601";"320360";"Mucurici (ES)";38;1;1;1;263,157894736842;1342;48;82;0,585365853658537;357,675111773472;0;0;0;NA;NA;0;15;44;0,340909090909091;Inf;3925;173;298;0,580536912751678;440,764331210191;350;42;62;0,67741935483871;1200;0,572895277207392;493,368700265252;1,74551971326165;1,02176763703121;NA;0,595063538611926;1,01333862548411;1,18244883801596;0,533389926428976;0,724965145906447;NA;Inf;0,893377165947538;2,43225806451613
"3147";"3203700";"320370";"Muniz Freire (ES)";60;0;0;NA;0;9792;162;476;0,340336134453782;165,441176470588;1;0;0;NA;0;0;8;138;0,0579710144927536;Inf;7476;134;350;0,382857142857143;179,240235420011;1068;2;30;0,0666666666666667;18,7265917602996;0,30784708249497;166,331467087025;NA;1,10553633217993;NA;0,188311073221559;1,24366013071895;0,216557734204793;0;0,994647491349481;0;Inf;1,0776086964124;0,112585983207265
"3148";"3203809";"320380";"Muqui (ES)";102;0;0;NA;0;6645;136;356;0,382022471910112;204,665161775771;5;0;0;NA;0;0;11;122;0,0901639344262295;Inf;6069;115;258;0,445736434108527;189,487559729774;1575;37;89;0,415730337078652;234,920634920635;0,362424242424242;207,696582383996;NA;1,05407538236068;NA;0,248780086627557;1,22987477638641;1,14708203374545;0;0,985404571546487;0;Inf;0,912328732397935;1,13107607368477
"3149";"3203908";"320390";"Nova Venécia (ES)";143;7;16;0,4375;489,510489510489;19620;411;1248;0,329326923076923;209,480122324159;28;0;0;NA;0;0;27;176;0,153409090909091;Inf;23652;504;1481;0,340310600945307;213,089802130898;2588;106;297;0,356902356902357;409,582689335394;0,327843380981976;229,193369685647;1,33447867298578;1,00452515493985;NA;0,467934080137872;1,03802797520569;1,08863676257041;2,13579690451728;0,913988579213587;0;Inf;0,929738074112545;1,78706168462536
"3150";"3204005";"320400";"Pancas (ES)";71;0;1;0;0;8812;66;259;0,254826254826255;74,8978665456196;10;1;1;1;1000;0;28;158;0,177215189873418;Inf;11250;134;407;0,329238329238329;119,111111111111;1405;2;12;0,166666666666667;14,2348754448399;0,275656324582339;107,20252459625;0;0,924434638720353;3,62770562770563;0,642884541618719;1,19437973983428;0,604617604617604;0;0,698657674599574;9,32813852813855;Inf;1,11108494468495;0,132784890080264
"3151";"3204054";"320405";"Pedro Canário (ES)";320;0;0;NA;0;5760;4;47;0,0851063829787234;6,94444444444444;75;0;6;0;0;3;483;1072;0,450559701492537;1610000;14956;38;304;0,125;25,4078630649906;2680;4;19;0,210526315789474;14,9253731343284;0,365331491712707;222,324955871228;NA;0,232956602179946;0;1,23329007138222;0,342155009451796;0,576261068550393;0;0,0312355597563537;0;7241,65217391305;0,114282550806879;0,0671331433569393
"3152";"3204104";"320410";"Pinheiros (ES)";193;18;50;0,36;932,642487046632;6126;16;61;0,262295081967213;26,1181847861574;32;0;0;NA;0;0;363;1007;0,360476663356504;Inf;15506;85;350;0,242857142857143;54,8174900038695;2038;17;36;0,472222222222222;83,4151128557409;0,331781914893617;208,830299225779;1,0850501002004;0,790564736029436;NA;1,08648677693023;0,731978242198683;1,42329102649744;4,46603050660908;0,125068942979004;0;Inf;0,262497780289071;0,399439703745077
"3153";"3204203";"320420";"Piúma (ES)";91;0;0;NA;0;9516;47;174;0,270114942528736;49,3905002101723;33;0;0;NA;0;0;67;325;0,206153846153846;Inf;7559;35;125;0,28;46,3024209551528;924;8;23;0,347826086956522;86,5800865800866;0,242658423493045;86,6302488550461;NA;1,11314883959294;NA;0,849563939245467;1,15388535031847;1,43339795070617;0;0,570129958795511;0;Inf;0,534483296159385;0,9994209612044
"3154";"3204252";"320425";"Ponto Belo (ES)";55;2;2;1;363,636363636364;1591;39;66;0,590909090909091;245,128849780013;14;0;0;NA;0;0;10;41;0,24390243902439;Inf;4960;105;215;0,488372093023256;211,693548387097;359;21;32;0,65625;584,958217270195;0,497191011235955;253,617996847686;2,01129943502825;1,18849512069851;NA;0,490560837811768;0,982262514781238;1,31991525423729;1,43379558294813;0,966527820686275;0;Inf;0,834694505194095;2,30645389736084
"3155";"3204302";"320430";"Presidente Kennedy (ES)";70;0;1;0;0;3774;23;236;0,0974576271186441;60,9432962374139;5;0;0;NA;0;0;19;145;0,131034482758621;Inf;5425;17;199;0,085427135678392;31,3364055299539;1040;9;45;0,2;86,5384615384615;0,108626198083067;65,9298041496994;0;0,897183449651048;NA;1,20628803245436;0,786432160804021;1,84117647058824;0;0,924366407930422;0;Inf;0,475299539170507;1,31258484162896
