"";"COD6D";"benf_plano_media";"benf_plano_mediana"
"557";"314950";354,75;353
"558";"430740";154,25;153,5
"559";"251615";2;2
"560";"521945";5,25;4,5
"561";"170105";76,75;76,5
"562";"431244";13;13,5
"563";"431275";83,75;79,5
"564";"431300";258,5;258
"565";"430632";166,25;165
"566";"353970";322,75;326
"567";"510100";45,25;45
"568";"352830";478;480
"569";"431912";34,25;33,5
"570";"251560";22;22
"571";"313830";225,75;219
"572";"412862";86,75;87,5
"573";"432330";661,5;663,5
"574";"410337";97,5;96,5
"575";"421710";358,75;359,5
"576";"420110";157,25;159
"577";"315970";45,25;45
"578";"352215";59,75;60
"579";"520360";169,5;166,5
"580";"251460";7,75;8
"581";"220130";17,75;17,5
"582";"430865";66,25;66,5
"583";"251520";42,5;40
"584";"317047";131,25;135
"585";"354165";101;99,5
"586";"316060";62,75;61
"587";"521839";76;76
"588";"352200";168,25;170
"589";"430367";751,75;753,5
"590";"432252";51;51
"591";"220695";3;3
"592";"315300";117,25;118,5
"593";"251274";8,5;9
"594";"353090";542,25;543,5
"595";"430745";107,5;108
"596";"520815";24,25;24
"597";"170510";1,5;1
"598";"520235";68,5;70,5
"599";"430645";268,25;266,5
"600";"421020";230,75;230,5
"601";"314437";57,25;57,5
"602";"220157";9,5;10,5
"603";"421755";174,75;170,5
"604";"311310";58,25;58
"605";"420243";220;220
"606";"431862";82,25;85,5
"607";"520670";30;30
"608";"312190";447,5;450
"609";"410322";104,75;107
"610";"420180";163,25;163,5
"611";"311970";239;239,5
"612";"315370";253,5;252,5
"613";"421335";128,75;129
"614";"240190";40;39,5
"615";"521878";2737,75;2729
"616";"431935";315,5;319
"617";"110026";24;24
"618";"250590";17;17
"619";"520750";51,75;52
"620";"520396";55,5;59,5
"621";"520455";77,25;76
"622";"171884";16,25;17
"623";"312695";1;1
"624";"412210";114;114
"625";"410855";18,75;18,5
"626";"311470";408,25;404
"627";"220207";3,5;3,5
"628";"431335";1420,75;1416
"629";"521805";209;205
"630";"354280";100,25;100,5
"631";"220735";8,5;8,5
"632";"251398";37;37,5
"633";"314880";114,5;114,5
"634";"420980";148,75;149,5
"635";"241445";33;31,5
"636";"317150";79;76
"637";"521565";26,25;26
"638";"420680";789,5;791,5
"639";"312530";168;168
"640";"411740";721,75;746
"641";"312990";207,25;208
"642";"316105";36,75;36
"643";"355255";563;533
"644";"510336";165,75;164
"645";"420315";183,5;181
"646";"520460";48,5;49
"647";"311980";247,5;117,5
"648";"280690";37,25;36,5
"649";"412665";45;45
"650";"314370";126;128,5
"651";"241180";56,75;56,5
"652";"430670";80;80,5
"653";"310610";244,5;247,5
"654";"510810";19;19,5
"655";"150125";10;10,5
"656";"411290";82,5;82
"657";"412033";150,5;150
"658";"520082";22,5;22,5
"659";"311900";79,5;76,5
"660";"421635";346,5;351,5
"661";"354360";824,25;840,5
"662";"353330";410,5;421,5
"663";"431055";16,5;16,5
"664";"314130";74;74,5
"665";"170270";14;14
"666";"313790";55;55
"667";"522145";25,75;26
"668";"241000";69,25;70
"669";"280380";38,25;36,5
"670";"420285";151;151
"671";"311540";113,5;114
"672";"510619";14;14
"673";"430537";20;20
"674";"521490";40;40
"675";"410755";214,75;212,5
"676";"420560";207;206,5
"677";"411660";58,75;58
"678";"354010";655,5;653,5
"679";"317110";177,75;179,5
"680";"432375";593,75;601
"681";"316165";41;39,5
"682";"314920";122,75;123,5
"683";"430410";76,25;75,5
"684";"316610";135,5;135,5
"685";"420160";664;657,5
"686";"520357";4,25;4
"687";"171150";46;44
"688";"251300";8;5
"689";"410712";24;24,5
"690";"431403";270,5;269,5
"691";"250550";7,75;8
"692";"316090";433,25;438
"693";"312470";144,25;143
"694";"500797";177;177,5
"695";"521520";62,25;62,5
"696";"240950";58,25;58
"697";"250135";19,75;19,5
"698";"432232";59,5;59,5
"699";"520552";42,25;42,5
"700";"110147";25,5;15,5
"701";"171195";11,5;11,5
"702";"421835";128,25;128
"703";"171090";246,5;227
"704";"421910";174,5;175,5
"705";"240725";33;34
"706";"353830";318,5;320,5
"707";"316000";99,75;100
"708";"251335";9,75;8
"709";"522100";52,5;53,5
"710";"310240";49,25;49,5
"711";"430560";96;94,5
"712";"520650";87,25;87
"713";"250340";22,75;21,5
"714";"350020";386,25;387,5
"715";"521590";83,5;84
"716";"221062";4;4
"717";"410165";93,5;93,5
"718";"311080";133;134
"719";"350715";154,5;149,5
"720";"412395";220,75;220,5
"721";"520960";33,75;34
"722";"110090";19,25;17,5
"723";"431113";17,75;18
"724";"420417";88,5;89
"725";"240615";72,5;72
"726";"315940";48,25;48
"727";"411130";225,5;240
"728";"510729";30,75;32
"729";"241110";18,5;18
"730";"315640";214,25;251,5
"731";"421940";130;130,5
"732";"420515";251;251
"733";"510757";4,5;4,5
"734";"520090";43,25;42
"735";"431555";193;194,5
"736";"315840";137,5;137,5
"737";"355120";199;198,5
"738";"251050";51,25;51,5
"739";"430781";53;53
"740";"352080";216,75;212,5
"741";"431970";75;74
"742";"240690";46,25;46
"743";"431090";504;503,5
"744";"410610";125,75;125
"745";"250580";23,75;23
"746";"520505";84;84,5
"747";"412320";185,25;184,5
"748";"220950";22,5;22
"749";"510685";122;121
"750";"520260";100,75;101
"751";"270490";22,5;23
"752";"431535";363,25;362,5
"753";"310960";1097,5;1119
"754";"520465";28,25;28,5
"755";"312738";288,75;294
"756";"522190";86,25;85,5
"757";"220785";3,5;3,5
"758";"412015";15,25;15,5
"759";"352820";278,25;279
"760";"430155";164;162,5
"761";"411630";153,25;153
"762";"171840";48;48
"763";"311115";5,25;5
"764";"521935";313,25;317,5
"765";"241105";51,75;51
"766";"170389";3;3
"767";"430085";156,25;156
"768";"350350";244;239,5
"769";"430807";220,25;222,5
"770";"280700";24,5;24
"771";"354550";917,5;908,5
"772";"221010";32,25;32,5
"773";"350470";203,5;203,5
"774";"430260";188;188,5
"775";"520310";34,5;36
"776";"251100";19,75;20
"777";"420510";163;163,5
"778";"430005";301,75;303,5
"779";"171240";29;29
"780";"311990";136,75;136
"781";"317140";47,75;47
"782";"314467";24,5;24
"783";"291890";83,75;84
"784";"520735";87,75;87,5
"785";"350240";607,75;603
"786";"280650";33,25;33,5
"787";"510627";32,5;33,5
"788";"251203";4;4
"789";"312500";332,25;330,5
"790";"510779";79,75;79,5
"791";"170386";26,5;27
"792";"220779";0;0
"793";"522026";33,75;33,5
"794";"510830";63,25;63
"795";"314120";106;106,5
"796";"171510";50,75;50
"797";"420435";142;143,5
"798";"170330";39,5;40,5
"799";"171850";11,5;11
"800";"431198";105,5;105,5
"801";"171500";26;26,5
"802";"220460";33,75;34,5
"803";"220155";2;2
"804";"314490";86,5;86,5
"805";"160055";3;3
"806";"310680";90,25;88,5
"807";"220915";6,5;6,5
"808";"316830";178,25;180
"809";"410315";18,25;18
"810";"510380";55;55
"811";"520160";93,75;92
"812";"412085";1120;1116,5
"813";"412310";173,75;172,5
"814";"520150";90,5;87,5
"815";"170755";41,25;42
"816";"220273";10,25;10,5
"817";"280190";24,5;25
"818";"312247";23,5;23,5
"819";"350090";333,5;334,5
"820";"353590";299;304,5
"821";"411573";26,25;19
"822";"241475";5;5
"823";"315910";46,5;47
"824";"315470";1031,5;1046
"825";"412545";413;414,5
"826";"316330";147,75;148
"827";"411640";96;94,5
"828";"521810";224,25;216
"829";"314190";464,75;466,5
"830";"432060";134,25;137,5
"831";"312170";39,5;39,5
"832";"521410";47,5;48
"833";"220198";6,5;6,5
"834";"220117";13,5;13,5
"835";"251220";73,25;75,5
"836";"312720";212;200,5
"837";"352960";593,5;594,5
"838";"431339";10,5;10,5
"839";"431477";154,5;148,5
"840";"240870";114,25;114,5
"841";"315860";203,25;204,5
"842";"220558";22,5;22,5
"843";"171880";33,25;33,5
"844";"431215";156,75;154
"845";"354230";257;256,5
"846";"241190";19,75;19,5
"847";"291020";57,75;56
"848";"351270";852,25;847
"849";"314890";785,25;772
"850";"220245";2,5;2
"851";"352265";70;70
"852";"353400";712,5;718,5
"853";"310760";100,75;100
"854";"430467";269,75;268
"855";"350080";883,75;882,5
"856";"410900";135,25;135,5
"857";"350120";384;380
"858";"412217";53;53
"859";"250407";36,5;36,5
"860";"291870";79,5;77
"861";"352070";446,25;451
"862";"241170";14,75;14,5
"863";"315320";90;91,5
"864";"411721";112,5;113
"865";"510775";25,25;25
"866";"313450";498,25;497,5
"867";"410220";561,5;560,5
"868";"352890";104,5;104,5
"869";"430595";695,5;693,5
"870";"310040";222,75;216
"871";"220225";3;3
"872";"241320";38;37,5
"873";"432225";441,75;440
"874";"412382";127,5;127
"875";"431342";259,25;260,5
"876";"410753";608,25;610,5
"877";"312850";251,5;249,5
"878";"312070";154,5;153
"879";"291900";12,25;12,5
"880";"313530";491;504
"881";"250855";14,75;15
"882";"410275";24,5;24,5
"883";"311460";257;255
"884";"240150";54;54
"885";"316905";34;34
"886";"412865";47,25;47,5
"887";"240860";53,5;55
"888";"311520";128;127
"889";"412130";216;216,5
"890";"280110";24,75;26
"891";"521525";32,5;32,5
"892";"421535";208,25;211,5
"893";"315213";22,5;22,5
"894";"315760";26,75;27
"895";"430915";177,5;177,5
"896";"411342";54,5;54,5
"897";"431430";534,75;535
"898";"251207";2,5;2,5
"899";"431349";41;41,5
"900";"411000";455;452
"901";"251480";18;18
"902";"310925";74,25;74,5
"903";"521960";93,5;94
"904";"316320";907,75;916,5
"905";"431280";681;682,5
"906";"354620";680,75;681,5
"907";"410655";82,5;82,5
"908";"251470";71,25;70
"909";"500510";316,75;318
"910";"314030";279;276,5
"911";"430187";10,75;11
"912";"250870";10,25;10
"913";"210565";4,5;3,5
"914";"412030";42,75;42,5
"915";"315900";193,5;192,5
"916";"520980";108,25;108,5
"917";"521540";76;77
"918";"420860";486,25;485,5
"919";"430540";308;308,5
"920";"421090";193,25;193,5
"921";"311020";254,75;254
"922";"350820";1510,5;1513,5
"923";"310080";67,5;65
"924";"220730";38;37,5
"925";"316265";3,25;3,5
"926";"430995";653,25;659,5
"927";"315020";326,75;332
"928";"353160";622,75;622
"929";"220665";0;0
"930";"431205";351,25;348
"931";"510820";338,75;357
"932";"350890";163,25;163,5
"933";"354025";115,25;120,5
"934";"316300";88,5;89
"935";"314960";229,75;228,5
"936";"410395";15,25;15
"937";"354960";305,75;304,5
"938";"313260";332,75;335,5
"939";"316790";161,75;157
"940";"421223";116;116
"941";"316010";215,5;209,5
"942";"510724";115,5;115
"943";"431848";96,25;97,5
"944";"411970";284;286
"945";"312630";274,75;275
"946";"431085";62,25;62
"947";"350110";263,75;264
"948";"431030";623;622
"949";"313140";377,75;378,5
"950";"421240";518,5;518,5
"951";"316810";554,25;553
"952";"313680";100,5;99
"953";"221063";98,75;99
"954";"353170";481;478,5
"955";"521377";17,5;16,5
"956";"170307";2,5;2,5
"957";"354110";360,5;365
"958";"315000";127,25;127,5
"959";"432085";176;182,5
"960";"412125";215;214,5
"961";"316020";29;29,5
"962";"251392";11,75;11,5
"963";"431520";126,25;127
"964";"421960";179;178
"965";"411340";138,25;138
"966";"220755";9,5;9,5
"967";"352560";1070,25;1080
"968";"241080";25,75;25
"969";"510740";41,25;40
"970";"353370";319;319
"971";"230510";53,5;54
"972";"251276";7,75;6,5
"973";"431070";69,5;69
"974";"431112";105,5;104,5
"975";"170560";22,75;23
"976";"220325";13;13
"977";"353210";331,75;332,5
"978";"220795";145;145,5
"979";"240760";17,75;18
"980";"171855";14;14
"981";"351680";895,75;903
"982";"420127";369,75;372,5
"983";"311205";48,25;46,5
"984";"316310";173,5;172
"985";"270390";25;25
"986";"312010";107,25;105
"987";"170110";36;34,5
"988";"251455";2;2
"989";"314010";229,5;229
"990";"250153";7,25;7
"991";"312740";85,5;85
"992";"316650";36,25;36,5
"993";"432340";309,75;309,5
"994";"432345";50;49,5
"995";"354040";325,75;352
"996";"313730";30;30
"997";"241240";73,75;72,5
"998";"240400";59;59
"999";"220885";1,25;0
"1000";"431360";219,25;218
"1001";"351519";181,75;188,5
"1002";"315645";81,75;82
"1003";"420775";195;196
"1004";"430955";328;325,5
"1005";"520940";35,25;36,5
"1006";"220887";3,25;3,5
"1007";"220342";10;10
"1008";"251275";17,5;17,5
"1009";"160025";11;11
"1010";"421145";101;100
"1011";"350730";532,25;559
"1012";"354310";409,5;415
"1013";"353270";744;739,5
"1014";"421140";243,75;243,5
"1015";"354840";160,5;161
"1016";"410657";189,25;179,5
"1017";"221170";5;5
"1018";"172030";29,75;29
"1019";"353220";1012;1026
"1020";"353205";1782,25;1783,5
"1021";"410347";60,5;61,5
"1022";"350200";473,75;472,5
"1023";"240840";53,25;53
"1024";"353040";456,75;457,5
"1025";"352120";148;150
"1026";"411040";330,25;294
"1027";"421540";3384,25;3388
"1028";"430045";114,75;114,5
"1029";"313640";51;50
"1030";"410045";154;153
"1031";"220525";8,75;9
"1032";"220955";0,5;0,5
"1033";"250933";5;4,5
"1034";"280200";161,25;163
"1035";"431575";30,75;31
"1036";"221140";1485,25;1500
"1037";"251400";94,25;94,5
"1038";"270270";23,5;24
"1039";"171250";26,75;25
"1040";"420520";519,5;516
"1041";"352780";220,75;218,5
"1042";"352300";449,25;460
"1043";"251030";31,5;31,5
"1044";"350830";308,75;308,5
"1045";"220380";40;34,5
"1046";"220180";35,75;36
"1047";"260740";51,75;51,5
"1048";"351015";504,25;485,5
"1049";"310665";18,5;18,5
"1050";"430975";67;65,5
"1051";"313655";34,75;35
"1052";"160005";71;72
"1053";"432185";85;86
"1054";"172049";37,25;37
"1055";"350995";348,75;348
"1056";"171430";62,5;62,5
"1057";"316160";133;131
"1058";"220530";54;53,5
"1059";"430003";40,25;40,5
"1060";"251593";31,25;31,5
"1061";"420250";372,5;372
"1062";"432215";12,25;12
"1063";"251410";6,25;6
"1064";"315737";24,25;24
"1065";"522155";962,25;946
"1066";"220455";14,25;13,5
"1067";"411360";1195,5;1200,5
"1068";"412280";66;73
"1069";"410405";64,25;66,5
"1070";"420410";265,75;267,5
"1071";"521295";53,5;53,5
"1072";"241100";32,75;33
"1073";"317043";123,75;113
"1074";"351685";1338,5;1336,5
"1075";"315053";57,25;57,5
"1076";"521971";64,25;65,5
"1077";"211157";9;9
"1078";"316695";8,75;8,5
"1079";"421227";146,25;146,5
"1080";"221035";13,25;13,5
"1081";"355550";151;151
"1082";"312440";203,5;206
"1083";"352580";277,75;278,5
"1084";"310220";35,5;36
"1085";"220985";19,5;19
"1086";"354320";158,5;158
"1087";"421490";309,25;316,5
"1088";"350260";258,25;256,5
"1089";"430513";62;62
"1090";"170320";24,5;24,5
"1091";"220600";66;65,5
"1092";"311740";27;27
"1093";"312330";507;524,5
"1094";"352115";610,75;608
"1095";"353960";755,75;760
"1096";"420270";278,5;283,5
"1097";"431447";67;65
"1098";"220280";47;47
"1099";"220410";18,5;18
"1100";"314585";211,5;209,5
"1101";"260710";17,25;17,5
"1102";"431449";460,25;465
"1103";"310660";45;46
"1104";"520055";1267,25;1272,5
"1105";"171700";12;12
"1106";"411310";118;116
"1107";"250960";13,25;13
"1108";"521056";45;44,5
"1109";"412010";188;189
"1110";"320180";437,25;437
"1111";"220553";0,5;0,5
"1112";"221090";25,75;26
"1113";"220556";8;8
"1114";"220271";12;12
"1115";"312260";103,25;102,5
"1116";"350980";111,5;111,5
"1117";"241355";47,75;48
"1118";"220285";6,5;6,5
