"";"COD6D";"benf_plano_media";"benf_plano_mediana"
"1119";"311640";267;267,5
"1120";"250435";62,75;63,5
"1121";"171780";25;25
"1122";"220775";7,25;7
"1123";"314225";2;2
"1124";"270080";12112,75;10358,5
"1125";"313652";12,25;12
"1126";"220675";15;15,5
"1127";"311480";218,5;216,5
"1128";"291125";7;7
"1129";"410670";800,5;797,5
"1130";"351710";556,25;555
"1131";"313657";37,75;37,5
"1132";"521870";147,5;147
"1133";"171890";19,75;19,5
"1134";"410300";604,75;595
"1135";"411090";205,25;205,5
"1136";"412635";476,5;480,5
"1137";"500025";125,5;126
"1138";"315730";165;159,5
"1139";"316590";71;71
"1140";"430845";342;343,5
"1141";"510455";71,75;72
"1142";"316080";77;76
"1143";"251380";27,75;28
"1144";"510620";88,75;89
"1145";"171630";23,5;23,5
"1146";"210730";23;23
"1147";"170730";50,25;50
"1148";"353325";682;691
"1149";"411380";414,25;414,5
"1150";"314060";75,25;75
"1151";"354105";410;415
"1152";"315750";64,25;63,5
"1153";"170390";39,5;39
"1154";"290060";197,75;199,5
"1155";"411550";230;230
"1156";"315880";119,75;119
"1157";"172010";16,5;17
"1158";"240680";31,75;31
"1159";"211195";1,75;2
"1160";"522015";54,25;55
"1161";"311170";205,5;205,5
"1162";"230480";12;11,5
"1163";"314640";216,25;223,5
"1164";"421875";248,25;247
"1165";"310870";336;340
"1166";"315040";97,75;98
"1167";"352950";633;631,5
"1168";"420985";623,5;623
"1169";"350140";108,5;108
"1170";"220995";2;2
"1171";"220527";0,5;0,5
"1172";"314315";8,75;9
"1173";"315070";1537;1556,5
"1174";"316225";21,25;17,5
"1175";"314440";137,25;134
"1176";"316980";110,25;114,5
"1177";"290880";51,75;52
"1178";"412670";183,75;184,5
"1179";"220360";161,5;128
"1180";"170555";13,75;13
"1181";"431303";44;44
"1182";"430265";579,25;578,5
"1183";"410754";33,5;33,5
"1184";"420665";329,5;331
"1185";"312083";80,75;81
"1186";"250810";21;21
"1187";"430630";85,75;85
"1188";"520520";194;189,5
"1189";"250470";34,75;35
"1190";"312705";146,75;148,5
"1191";"220100";19;19
"1192";"314230";455,75;453,5
"1193";"317115";31,75;32
"1194";"120043";9,5;9,5
"1195";"241050";59;59
"1196";"220211";6,75;6,5
"1197";"160021";13,25;13,5
"1198";"240850";54,75;54,5
"1199";"211080";15,25;15
"1200";"521973";543;543
"1201";"220323";0;0
"1202";"421725";632,5;630,5
"1203";"315030";88,75;88
"1204";"430980";170;171,5
"1205";"315440";222,75;223,5
"1206";"312825";172;173
"1207";"420915";246,75;247,5
"1208";"410785";62;61,5
"1209";"431842";171;171,5
"1210";"317065";25;25
"1211";"522220";43,5;41,5
"1212";"431171";14,75;14,5
"1213";"420760";888,75;884
"1214";"220980";34,75;35
"1215";"351890";1455,75;1456,5
"1216";"311220";114;112,5
"1217";"220551";8,75;9
"1218";"312060";121,25;122
"1219";"251440";17;17
"1220";"240933";529;520,5
"1221";"521925";51,5;51,5
"1222";"312130";282,75;282
"1223";"313590";456,5;463,5
"1224";"310445";28,75;29
"1225";"240290";43;42
"1226";"412040";705,5;734,5
"1227";"421310";959;955,5
"1228";"510269";12,5;12,5
"1229";"431260";985,5;988,5
"1230";"421917";1689,5;1698
"1231";"410770";344,5;337
"1232";"313835";62,25;63
"1233";"355420";49;48
"1234";"110145";32,25;25,5
"1235";"250420";33,75;34,5
"1236";"352870";213,5;220
"1237";"354510";89,5;87
"1238";"411845";654,5;657
"1239";"352060";626,5;626
"1240";"220255";1;1
"1241";"421507";132,75;132,5
"1242";"522150";88,25;89,5
"1243";"352630";218,25;213
"1244";"240880";40,5;41,5
"1245";"311535";2069,25;2069
"1246";"220559";1;1
"1247";"431230";145,75;145,5
"1248";"412065";448,75;443,5
"1249";"500310";259;260
"1250";"312660";49,5;49
"1251";"430087";138,25;138
"1252";"291260";25,5;25,5
"1253";"510343";139;142,5
"1254";"430320";319,75;318
"1255";"220327";0;0
"1256";"240060";52,5;53,5
"1257";"520810";168,5;170,5
"1258";"350075";535,25;502
"1259";"210725";5,25;5
"1260";"110155";28,75;24,5
"1261";"421330";329,5;330,5
"1262";"250535";9,25;9
"1263";"411170";73,75;74
"1264";"411230";62,25;61,5
"1265";"313910";240;239
"1266";"420030";248,25;246,5
"1267";"420660";317,25;318
"1268";"431220";542,25;542,5
"1269";"221135";1;1
"1270";"220935";6,5;6,5
"1271";"314840";104,75;106
"1272";"430970";231,75;233
"1273";"430550";97;97
"1274";"311265";138,75;137,5
"1275";"315610";293,5;293
"1276";"500750";241,75;241,5
"1277";"432030";144,5;144,5
"1278";"510880";17,25;17
"1279";"312210";196,5;195,5
"1280";"500625";380;384,5
"1281";"311810";21,25;20,5
"1282";"430544";36,75;36
"1283";"316440";159,5;161
"1284";"520915";35;32,5
"1285";"171570";27;28
"1286";"430330";505,25;506,5
"1287";"170830";3,5;3,5
"1288";"270590";14,5;10,5
"1289";"350430";489,25;485,5
"1290";"310480";130;128,5
"1291";"520830";107,75;112,5
"1292";"314537";8,5;8,5
"1293";"311010";69,5;68,5
"1294";"280310";80,25;81
"1295";"411545";17,5;17,5
"1296";"310520";26,25;26,5
"1297";"313200";170,5;180,5
"1298";"250950";76,5;76
"1299";"315740";121;121,5
"1300";"220740";104,5;100
"1301";"315930";235,5;236
"1302";"351260";112;111,5
"1303";"310720";73,25;73
"1304";"312040";414,25;416
"1305";"521390";45,75;45,5
"1306";"170600";25,75;26
"1307";"431053";216,25;216,5
"1308";"421605";157,75;157
"1309";"241370";34,75;34
"1310";"520495";47,25;48
"1311";"350770";341,25;343
"1312";"410715";139,25;137,5
"1313";"510390";41;40
"1314";"412627";228,75;235,5
"1315";"170215";4,25;4,5
"1316";"310880";243;242
"1317";"352770";175;172,5
"1318";"250230";61;62
"1319";"250310";94;95,5
"1320";"312940";135,75;133,5
"1321";"500730";667,5;667,5
"1322";"220265";1,25;1
"1323";"350910";218;216,5
"1324";"316390";85,75;86
"1325";"290950";26,75;27
"1326";"251720";14;14
"1327";"411585";1282,75;1283,5
"1328";"150775";904,75;905,5
"1329";"220045";55,5;55,5
"1330";"410780";853,75;853,5
"1331";"310250";319,25;317,5
"1332";"171665";11,75;11
"1333";"521080";197,25;192
"1334";"313507";41,25;41,5
"1335";"172065";45,25;45,5
"1336";"317210";430,75;433,5
"1337";"510720";102,25;100,5
"1338";"430340";120;120
"1339";"220375";1;1
"1340";"412110";397,5;399
"1341";"520017";57,5;62,5
"1342";"220010";38;38,5
"1343";"411695";176,25;180
"1344";"220545";2;2
"1345";"311547";34,25;34,5
"1346";"250270";32;32
"1347";"431210";94,25;94,5
"1348";"270620";42,75;42,5
"1349";"240160";187,75;190
"1350";"432254";1851,25;1829
"1351";"510452";122,75;124
"1352";"431190";467;466,5
"1353";"312733";13,75;13,5
"1354";"312540";38,75;37,5
"1355";"522230";52;55
"1356";"221005";4;4,5
"1357";"220937";11,75;12
"1358";"355385";106,25;107
"1359";"350300";990,75;994
"1360";"220027";43,25;41
"1361";"431406";96,75;95,5
"1362";"510268";244,75;245
"1363";"251170";26,5;26,5
"1364";"313570";246,5;250
"1365";"311760";656,75;712
"1366";"411375";114,25;113,5
"1367";"170030";127,5;133
"1368";"430720";125,25;127
"1369";"312385";128,25;129,5
"1370";"316140";43,25;37,5
"1371";"412290";58,25;58
"1372";"431442";483,25;484
"1373";"170370";26,75;27
"1374";"316257";99,5;98
"1375";"312270";347,25;349,5
"1376";"432035";43,5;43,5
"1377";"421935";126,5;126
"1378";"250527";12,25;12
"1379";"311210";59;62,5
"1380";"312250";293,75;292,5
"1381";"312100";102,25;102,5
"1382";"220590";47,5;47
"1383";"241025";34;33
"1384";"315090";941,75;939
"1385";"315510";71,75;71,5
"1386";"354460";1767,75;1757,5
"1387";"316557";69;66
"1388";"312310";111,25;110,5
"1389";"410920";453,25;450
