"";"MUNIC_RES";"n";"total";"prop"
"314";170040;65;313;0,207667731629393
"315";170070;154;465;0,331182795698925
"316";170100;347;829;0,418576598311218
"317";170105;14;97;0,144329896907216
"318";170110;22;142;0,154929577464789
"319";170130;43;212;0,202830188679245
"320";170190;55;317;0,173501577287066
"321";170200;385;1084;0,355166051660517
"322";170210;2186;9839;0,222177050513264
"323";170215;32;154;0,207792207792208
"324";170220;602;1490;0,404026845637584
"325";170230;459;969;0,473684210526316
"326";170240;325;1255;0,258964143426295
"327";170255;631;1766;0,357304643261608
"328";170270;44;110;0,4
"329";170290;237;705;0,336170212765957
"330";170300;46;273;0,168498168498169
"331";170305;25;138;0,181159420289855
"332";170307;46;163;0,282208588957055
"333";170310;30;185;0,162162162162162
"334";170320;35;185;0,189189189189189
"335";170330;93;338;0,275147928994083
"336";170360;21;86;0,244186046511628
"337";170370;55;211;0,260663507109005
"338";170380;151;460;0,328260869565217
"339";170382;21;98;0,214285714285714
"340";170384;35;222;0,157657657657658
"341";170386;27;159;0,169811320754717
"342";170388;12;82;0,146341463414634
"343";170389;117;291;0,402061855670103
"344";170390;16;136;0,117647058823529
"345";170410;27;148;0,182432432432432
"346";170460;6;48;0,125
"347";170510;19;80;0,2375
"348";170550;805;2686;0,299702159344751
"349";170555;101;324;0,311728395061728
"350";170560;25;177;0,141242937853107
"351";170600;38;190;0,2
"352";170610;93;487;0,190965092402464
"353";170625;8;49;0,163265306122449
"354";170650;35;212;0,165094339622642
"355";170700;394;1201;0,328059950041632
"356";170710;232;611;0,379705400981997
"357";170720;36;165;0,218181818181818
"358";170730;174;385;0,451948051948052
"359";170740;131;475;0,275789473684211
"360";170755;52;207;0,251207729468599
"361";170765;74;285;0,259649122807018
"362";170770;58;246;0,235772357723577
"363";170820;341;1040;0,327884615384615
"364";170825;24;162;0,148148148148148
"365";170830;28;172;0,162790697674419
"366";170900;273;1068;0,25561797752809
"367";170930;362;1443;0,250866250866251
"368";170950;1007;4358;0,231069297843047
"369";170980;16;90;0,177777777777778
"370";171050;64;313;0,204472843450479
"371";171070;174;404;0,430693069306931
"372";171090;26;120;0,216666666666667
"373";171110;9;76;0,118421052631579
"374";171150;28;117;0,239316239316239
"375";171180;40;149;0,268456375838926
"376";171190;152;488;0,311475409836066
"377";171195;25;140;0,178571428571429
"378";171200;30;161;0,186335403726708
"379";171215;12;63;0,19047619047619
"380";171240;12;74;0,162162162162162
"381";171245;31;134;0,23134328358209
"382";171250;27;152;0,177631578947368
"383";171270;15;75;0,2
"384";171280;29;115;0,252173913043478
"385";171320;399;2018;0,197720515361744
"386";171330;749;1219;0,614438063986875
"387";171360;118;396;0,297979797979798
"388";171370;17;91;0,186813186813187
"389";171380;35;115;0,304347826086957
"390";171395;31;122;0,254098360655738
"391";171420;44;280;0,157142857142857
"392";171430;198;394;0,50253807106599
"393";171488;56;381;0,146981627296588
"394";171500;24;110;0,218181818181818
"395";171510;27;167;0,161676646706587
"396";171515;20;122;0,163934426229508
"397";171525;40;137;0,291970802919708
"398";171550;14;68;0,205882352941176
"399";171570;30;141;0,212765957446809
"400";171575;186;436;0,426605504587156
"401";171610;338;2231;0,151501568803227
"402";171620;126;379;0,33245382585752
"403";171630;66;183;0,360655737704918
"404";171650;419;1506;0,278220451527224
"405";171660;356;748;0,475935828877005
"406";171665;37;184;0,201086956521739
"407";171670;224;535;0,418691588785047
"408";171700;45;210;0,214285714285714
"409";171720;15;92;0,16304347826087
"410";171750;36;252;0,142857142857143
"411";171780;55;170;0,323529411764706
"412";171790;128;496;0,258064516129032
"413";171800;26;144;0,180555555555556
"414";171820;1354;4340;0,311981566820277
"415";171830;210;548;0,383211678832117
"416";171840;114;256;0,4453125
"417";171845;6;90;0,0666666666666667
"418";171850;48;200;0,24
"419";171855;38;147;0,258503401360544
"420";171865;54;110;0,490909090909091
"421";171870;21;117;0,179487179487179
"422";171875;22;141;0,156028368794326
"423";171880;120;371;0,323450134770889
"424";171884;97;289;0,335640138408304
"425";171886;42;242;0,173553719008264
"426";171888;30;173;0,173410404624277
"427";171889;19;54;0,351851851851852
"428";171890;49;169;0,289940828402367
"429";171900;18;147;0,122448979591837
"430";172000;22;76;0,289473684210526
"431";172010;56;219;0,255707762557078
"432";172015;6;37;0,162162162162162
"433";172020;63;219;0,287671232876712
"434";172025;13;65;0,2
"435";172030;41;170;0,241176470588235
"436";172049;22;160;0,1375
"437";172065;109;435;0,250574712643678
"438";172080;79;322;0,245341614906832
"439";172085;19;108;0,175925925925926
"440";172090;645;1419;0,454545454545455
"441";172093;13;66;0,196969696969697
"442";172097;20;82;0,24390243902439
"443";172100;1474;10406;0,141649048625793
"444";172110;127;515;0,246601941747573
"445";172120;733;1979;0,370389085396665
"446";172125;43;171;0,251461988304094
"447";172130;13;69;0,188405797101449
"448";172208;53;320;0,165625
"449";172210;218;997;0,218655967903711
"450";210005;1126;4315;0,260950173812283
"451";210010;28;87;0,32183908045977
"452";210015;104;313;0,332268370607029
"453";210020;237;539;0,439703153988868
"454";210030;675;1681;0,401546698393813
"455";210040;22;90;0,244444444444444
"456";210043;91;358;0,254189944134078
"457";210047;952;1784;0,533632286995516
"458";210050;459;854;0,537470725995316
"459";210055;26;104;0,25
"460";210060;578;1780;0,324719101123596
"461";210070;702;1392;0,504310344827586
"462";210080;579;972;0,595679012345679
"463";210083;71;296;0,239864864864865
"464";210087;47;166;0,283132530120482
"465";210090;949;1883;0,503983005841742
"466";210095;1355;2009;0,674464907914385
"467";210100;410;904;0,45353982300885
"468";210110;315;747;0,421686746987952
"469";210120;1661;5054;0,328650573802928
"470";210125;82;282;0,290780141843972
"471";210130;509;1058;0,48109640831758
"472";210135;17;62;0,274193548387097
"473";210140;1974;4713;0,41884150222788
"474";210150;557;1457;0,38229238160604
"475";210160;1493;4110;0,363260340632603
"476";210170;905;1842;0,491313789359392
"477";210173;8;47;0,170212765957447
"478";210177;77;257;0,299610894941634
"479";210180;232;353;0,657223796033994
"480";210190;524;1112;0,471223021582734
"481";210193;56;137;0,408759124087591
"482";210197;78;231;0,337662337662338
"483";210200;933;1782;0,523569023569024
"484";210203;634;1276;0,496865203761755
"485";210207;77;240;0,320833333333333
"486";210210;695;1511;0,459960291197882
"487";210215;31;116;0,267241379310345
"488";210220;786;1541;0,510058403634004
"489";210230;1020;1803;0,565723793677205
"490";210232;1197;3083;0,388258190074603
"491";210235;27;144;0,1875
"492";210237;106;274;0,386861313868613
"493";210240;131;279;0,469534050179211
"494";210250;334;523;0,638623326959847
"495";210255;305;790;0,386075949367089
"496";210260;297;565;0,525663716814159
"497";210270;1078;1912;0,563807531380753
"498";210275;546;687;0,794759825327511
"499";210280;1278;1732;0,737875288683603
"500";210290;44;280;0,157142857142857
"501";210300;969;6855;0,141356673960613
"502";210310;356;520;0,684615384615385
"503";210312;263;458;0,574235807860262
"504";210315;53;195;0,271794871794872
"505";210317;83;377;0,220159151193634
"506";210320;1285;3632;0,353799559471366
"507";210325;424;909;0,466446644664466
"508";210330;1636;4806;0,340407823553891
"509";210340;1948;3396;0,573616018845701
"510";210350;1040;2217;0,469102390617952
"511";210355;79;301;0,262458471760797
"512";210360;723;1812;0,399006622516556
"513";210370;673;2227;0,302200269420745
"514";210375;74;275;0,269090909090909
"515";210380;613;1342;0,456780923994039
"516";210390;38;174;0,218390804597701
"517";210400;545;918;0,593681917211329
"518";210405;774;2026;0,382033563672261
"519";210407;148;331;0,447129909365559
"520";210408;40;127;0,31496062992126
"521";210409;253;549;0,460837887067395
"522";210410;282;532;0,530075187969925
"523";210420;313;651;0,480798771121352
"524";210430;5;48;0,104166666666667
"525";210440;736;1162;0,633390705679862
"526";210450;383;672;0,569940476190476
"527";210455;288;866;0,33256351039261
"528";210460;474;889;0,53318335208099
"529";210462;224;476;0,470588235294118
"530";210465;34;138;0,246376811594203
"531";210467;623;1735;0,359077809798271
"532";210470;449;706;0,635977337110482
"533";210480;1161;3405;0,340969162995595
"534";210490;393;700;0,561428571428571
"535";210500;483;956;0,505230125523013
"536";210510;499;904;0,551991150442478
"537";210515;260;483;0,538302277432712
"538";210520;319;725;0,44
"539";210530;1777;9358;0,18989100235093
"540";210535;97;193;0,50259067357513
"541";210540;1031;2265;0,455187637969095
"542";210542;897;1719;0,521815008726004
"543";210545;43;153;0,281045751633987
"544";210547;30;145;0,206896551724138
"545";210550;915;1848;0,49512987012987
"546";210560;639;1002;0,637724550898204
"547";210565;53;177;0,299435028248588
"548";210570;1690;3406;0,49618320610687
"549";210580;447;794;0,562972292191436
"550";210590;96;387;0,248062015503876
"551";210592;52;158;0,329113924050633
"552";210594;195;442;0,441176470588235
"553";210596;35;121;0,289256198347107
"554";210598;114;309;0,368932038834951
"555";210600;392;712;0,550561797752809
"556";210610;268;627;0,427432216905901
"557";210620;5;31;0,161290322580645
"558";210630;402;737;0,545454545454545
"559";210632;274;776;0,353092783505155
"560";210635;27;87;0,310344827586207
"561";210637;98;335;0,292537313432836
"562";210640;522;887;0,588500563697858
"563";210650;442;768;0,575520833333333
"564";210660;718;1868;0,384368308351178
"565";210663;26;91;0,285714285714286
"566";210667;134;317;0,422712933753943
"567";210670;857;1205;0,711203319502075
"568";210675;599;1194;0,501675041876047
"569";210680;316;535;0,590654205607477
"570";210690;936;1555;0,601929260450161
"571";210700;201;587;0,342419080068143
"572";210710;476;773;0,615782664941785
"573";210720;405;611;0,662847790507365
"574";210725;178;290;0,613793103448276
"575";210730;44;97;0,45360824742268
"576";210735;441;643;0,685847589424572
"577";210740;766;1359;0,56364974245769
"578";210745;330;658;0,501519756838906
"579";210750;757;3973;0,190536118801913
"580";210760;624;1113;0,560646900269542
