"";"COD6D";"adm";"atencao_basica";"assist_hosp";"suporte";"vigil_epidem";"alimentacao";"trabalhador";"educ_infantil";"direitos";"saneamento_rural";"saneamento_urb";"desenv";"outros";"total"
"295";"420253";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"296";"431179";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"297";"412020";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"298";"314550";0;40000;0;0;0;0;0;0;0;0;0;0;0;40000
"299";"316750";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"300";"353450";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"301";"431505";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"302";"354740";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"303";"410810";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"304";"431595";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"305";"430655";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"306";"317220";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"307";"317220";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"308";"353690";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"309";"220855";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"310";"520393";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"311";"221037";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"312";"172097";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"313";"170410";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"314";"354920";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"315";"430805";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"316";"171870";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"317";"510715";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"318";"350775";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"319";"411065";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"320";"430786";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"321";"431065";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"322";"240960";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"323";"316360";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"324";"430355";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"325";"431642";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"326";"240590";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"327";"420543";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"328";"240550";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"329";"290740";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"330";"251365";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"331";"221097";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"332";"171245";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"333";"411925";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"334";"220710";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"335";"313080";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"336";"260545";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"337";"310700";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"338";"520570";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"339";"352885";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"340";"351090";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"341";"420215";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"342";"431843";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"343";"430469";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"344";"251385";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"345";"355460";0;0;0;0;0;0;0;0;0;0;20250;0;0;20250
"346";"431973";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"347";"420005";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"348";"421315";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"349";"220554";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"350";"351530";0;0;0;0;0;0;0;0;0;0;0;0;0;0
