"";"COD7D";"Municipio";"COD6D";"Aracaju";"Belem";"Belo_Horizonte";"Boa_Vista";"Brasilia";"Campo_Grande";"Cuiaba";"Curitiba";"Florianopolis";"Fortaleza";"Goiania";"Joao_Pessoa";"Macapa";"Maceio";"Manaus";"Natal";"Palmas";"Porto_Alegre";"Porto_Velho";"Recife";"Rio_Branco";"Rio_de_Janeiro";"Salvador";"Sao_Luis";"Sao_Paulo";"Teresina";"Vitoria";"LessDistant"
"20";"1200708";"XAPURI";"120070";3433925,14013277;2445526,31707756;2827007,18986523;1742888,33792339;2316019,64288229;1906253,80523593;1465307,5207621;2612798,73959716;2814663,42552212;3392543,91460592;2184942,56271106;3717031,05846123;2323908,60435258;3595303,34278423;1266050,39828178;3702333,51006634;2228470,00708012;2810914,10891927;486572,176990364;3697199,00867198;58210,7825451049;2992502,60379981;3277324,2780059;2814074,88212442;2732824,45791793;2903614,18274654;3206289,89701279;58,21078
"21";"1200807";"PORTO ACRE";"120080";3354101,95941111;2323269,20148522;2792341,85513815;1608255,37657426;2264428,7545712;1907059,42544979;1430366,87494854;2619648,92569481;2828470,60669405;3287402,00203701;2141225,3976147;3624421,12838198;2194710,25010415;3510320,83892163;1130025,33135202;3605304,47817733;2144030,89401981;2843522,54063296;376240,803852908;3607396,05993787;88178,9237016954;2971828,88705949;3205019,69537996;2700513,53164963;2722976,11293594;2799522,28656512;3168071,03763622;88,17892
"01";"2700102";"ÁGUA BRANCA";"270010";209875,698935222;1468536,52968473;1344571,5685969;2878302,96307363;1293602,35390642;2175587,41985375;2075823,52658489;2160518,67726678;2312359,64779256;610813,39776143;1478112,8244772;407367,659230237;1787333,77366397;242279,752917848;2580848,91880791;484024,65400887;1129666,25089882;2686537,04763398;2901060,87190681;354088,325034891;3343920,01528332;1623127,10447458;403810,015468832;1020736,57226748;1843321,90815067;705882,189960171;1244714,10581352;209,8757
"1100";"2700201";"ANADIA";"270020";170294,080824151;1635921,80264306;1399690,37548567;3053438,42598882;1418342,01760978;2290045,20630631;2225341,98200403;2223667,8678959;2360195,09586368;694583,048719029;1602450,40230838;318724,482887051;1954289,83910942;67942,9991040646;2760559,74176763;443351,453832978;1299835,7994628;2738397,77931341;3074283,26315919;235168,710359982;3515165,7983244;1653686,76825776;428783,614953088;1177562,20166123;1898332,51021368;870485,611022925;1250116,2972287;67,943
"2100";"2700300";"ARAPIRACA";"270030";146362,304236156;1611544,35879633;1371365,63231617;3025432,56550164;1382306,7254466;2255063,45673695;2188108,24930312;2194706,73226147;2333497,83365156;691660,199506545;1566496,50910566;346028,388646008;1930148,77688;105257,040816903;2728160,29012907;463400,72208385;1263222,83793208;2711219,57664135;3037996,04792172;266622,807622957;3478564,61286944;1629277,82670691;401521,218006406;1156868,91575125;1870377,92080122;846828,76596552;1229458,21957522;105,25704
"3100";"2700409";"ATALAIA";"270040";199014,277347504;1648192,36570903;1429068,97018586;3069298,88488905;1449757,27377072;2321523,11045853;2255786,4160376;2253282,64407342;2388720,62333374;688287,941807858;1633882,44508943;290856,92161478;1966235,37171548;39970,443390811;2781555,02854343;419978,144912065;1327233,84689151;2767148,77020517;3100945,91630046;205104,511250868;3542449,6934653;1681067,6310733;458027,99405746;1186411,64572113;1927499,0906315;882488,825910623;1275446,90906339;39,97044
"4100";"2700508";"BARRA DE SANTO ANTÔNIO";"270050";245319,766683078;1688512,82867328;1473686,95012733;3114206,96333891;1505764,10550759;2375844,03767964;2313718,46765497;2298448,60403343;2430414,94103149;700231,974793874;1689751,00969992;256408,64901509;2005941,34095475;22898,6412724778;2832932,92056046;397205,458869058;1384633,18270956;2809463,00017076;3157800,69617574;163498,236571904;3599720,04050294;1719700,59469065;503498,917559609;1222127,22787746;1971271,88056708;923201,005402981;1309020,22691968;22,89864
"5100";"2700607";"BARRA DE SÃO MIGUEL";"270060";181392,242459523;1678677,28543685;1409920,40823029;3096954,71485736;1445570,68745976;2313829,46932234;2258395,24042975;2234630,90707791;2367259,28199235;725123,571671445;1629341,19439249;315903,473730208;1996956,0367321;41196,0391745019;2803807,52727186;450499,932305847;1339141,41610043;2746165,84652505;3114274,02831368;225601,716321224;3554447,56790883;1657420,03001496;439563,093033913;1219024,20065596;1907655,31998865;913111,595052878;1248708,63229647;41,19604
"6100";"2700706";"BATALHA";"270070";142443,377793759;1567752,0412951;1347677,49091807;2978401,02660367;1341325,76899287;2216865,14373322;2141974,3992807;2169394,80480535;2312282,50025137;673484,598798584;1525715,76174224;373289,366017257;1886499,88215668;154002,029252382;2678304,3270096;478513,257293353;1213204,59315052;2689041,43576658;2987697,29508427;301430,896956511;3428532,19176311;1612387,57667677;382806,031267643;1116872,33262491;1847065,76435632;804139,162928192;1219187,78461548;142,44338
"7100";"2700805";"BELÉM";"270080";172972,449577363;1612573,39934687;1398954,54307178;3030232,70311893;1407703,29989302;2281330,99759487;2210883,59228172;2222318,87534089;2360962,67262699;675926,28372239;1591972,63218406;318435,929702603;1930947,16690853;85826,011540088;2738358,5086183;437053,751164102;1281148,90343424;2738734,81991513;3054977,58464305;239329,935960021;3496381,12252144;1656392,62756067;428983,200901962;1154440,4593698;1897949,26910593;847149,029148625;1255680,22594882;85,82601
