"";"TOTAL";"COL1992";"COL1993";"COL1994";"COL1995";"COL1996";"COL1997";"COL1998";"COL1999";"COL2000";"COL2001";"COL2002";"COL2003";"COL2004";"COL2005";"COL2006";"COL2007";"COL2008";"COL2009";"COL2010";"COL2011";"COL2012";"COL2013";"COL2014";"COL2015";"COL2016";"COL2017";"COL2018";"COL2019";"COL2020"
"74";"REMESSA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;86;86;86;87;87;87;87;87;87;87;87;87;87
"75";"RUBRICA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;72;45;46;46;46;47;47;47;47;47;47;47;47;47;47
"76";"SEMIPLEN";NA;NA;NA;41;33;34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"77";"SEQ_AIH5";NA;NA;NA;NA;NA;NA;NA;NA;NA;60;62;62;62;64;65;65;66;66;66;67;67;67;67;67;67;67;67;67;67
"78";"SEQUENCIA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;85;85;85;86;86;86;86;86;86;86;86;86;86
"79";"SEXO";9;9;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11
"80";"SIS_JUST";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;89;89;89;89;89;89;89;89;89;89
"81";"TOT_PT_SP";NA;NA;NA;NA;NA;NA;NA;46;52;50;52;52;52;54;55;55;56;56;56;57;57;57;57;57;57;57;57;57;57
"82";"TPDISEC1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;105;105;105;105;105;105;105
"83";"TPDISEC2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;106;106;106;106;106;106;106
"84";"TPDISEC3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;107;107;107;107;107;107;107
"85";"TPDISEC4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;108;108;108;108;108;108;108
"86";"TPDISEC5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;109;109;109;109;109;109;109
"87";"TPDISEC6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;110;110;110;110;110;110;110
"88";"TPDISEC7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;111;111;111;111;111;111;111
"89";"TPDISEC8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;112;112;112;112;112;112;112
