"";"CODUFMUN";"qtde"
"194";"160027";70,5
"195";"160030";2137
"196";"160040";54
"197";"160050";48
"198";"160053";37
"199";"160055";11
"200";"160060";353
"201";"160070";43
"202";"160080";22
"203";"290010";21
"204";"290020";44,5
"205";"290030";32,5
"206";"290035";27
"207";"290040";28
"208";"290050";26
"209";"290060";14
"210";"290070";404,5
"211";"290080";53,5
"212";"290090";4
"213";"290100";84,5
"214";"290110";49
"215";"290115";40
"216";"290120";35
"217";"290130";30
"218";"290135";31,5
"219";"290140";17
"220";"290150";15
"221";"290160";41,5
"222";"290170";17
"223";"290180";17
"224";"290190";31
"225";"290195";12,5
"226";"290200";43,5
"227";"290205";25
"228";"290210";79,5
"229";"290220";14
"230";"290225";24
"231";"290230";13
"232";"290240";31
"233";"290250";21
"234";"290260";41
"235";"290265";22,5
"236";"290270";107,5
"237";"290280";44,5
"238";"290290";80
"239";"290300";53
"240";"290310";19
"241";"290320";508,5
"242";"290323";27
"243";"290327";26,5
"244";"290330";25
"245";"290340";49,5
"246";"290350";50
"247";"290360";37,5
"248";"290370";28
"249";"290380";45
"250";"290390";135,5
"251";"290395";31,5
"252";"290400";36
"253";"290405";33
"254";"290410";42
"255";"290420";38,5
"256";"290430";39
"257";"290440";16
"258";"290450";23
"259";"290460";193,5
"260";"290470";35
"261";"290475";21
"262";"290480";38
"263";"290485";23,5
"264";"290490";69,5
"265";"290500";47
"266";"290510";19
"267";"290515";13
"268";"290520";100
"269";"290530";45
"270";"290540";18
"271";"290550";26,5
"272";"290560";79
"273";"290570";759,5
"274";"290580";48,5
"275";"290590";34,5
"276";"290600";91,5
"277";"290610";24
"278";"290620";48,5
"279";"290630";80
"280";"290640";17,5
"281";"290650";218,5
"282";"290660";9
"283";"290670";59
"284";"290680";60
"285";"290682";33
"286";"290685";28,5
"287";"290687";66
"288";"290689";14
"289";"290690";50
"290";"290700";17
"291";"290710";51
"292";"290720";56
"293";"290730";104
"294";"290740";10
"295";"290750";86
"296";"290755";18
"297";"290760";55
"298";"290770";24
"299";"290780";50,5
"300";"290790";33
"301";"290800";65
"302";"290810";33
"303";"290820";41,5
"304";"290830";50
"305";"290840";89
"306";"290850";56
"307";"290860";39,5
"308";"290870";39,5
"309";"290880";12
"310";"290890";39,5
"311";"290900";22,5
"312";"290910";31,5
"313";"290920";26
"314";"290930";75
"315";"290940";19
"316";"290950";12
"317";"290960";36,5
"318";"290970";23
"319";"290980";164
"320";"290990";43
"321";"291000";27
"322";"291005";169
"323";"291010";26
"324";"291020";9
"325";"291030";19
"326";"291040";70
"327";"291050";75,5
"328";"291060";68
"329";"291070";79,5
"330";"291072";266,5
"331";"291075";38
"332";"291077";10
"333";"291080";2206
"334";"291085";46
"335";"291090";9,5
"336";"291100";61,5
"337";"291110";52
"338";"291120";69,5
"339";"291125";9
"340";"291130";20
"341";"291140";29
"342";"291150";25
"343";"291160";50
"344";"291165";23,5
"345";"291170";246
"346";"291180";40,5
"347";"291185";11
"348";"291190";53
"349";"291200";33
"350";"291210";87,5
"351";"291220";30
"352";"291230";37
"353";"291240";43
"354";"291250";15
"355";"291260";5
"356";"291270";51
"357";"291280";24
"358";"291290";57
"359";"291300";34,5
"360";"291310";37
"361";"291320";104,5
"362";"291330";19
"363";"291340";35,5
"364";"291345";25
"365";"291350";56
"366";"291360";765
"367";"291370";79,5
"368";"291380";30
"369";"291390";143
"370";"291400";95
"371";"291410";13
"372";"291420";26
"373";"291430";33,5
"374";"291440";53,5
"375";"291450";46,5
"376";"291460";325,5
"377";"291465";59,5
"378";"291470";188,5
"379";"291480";1542
"380";"291490";43,5
"381";"291500";25,5
"382";"291510";43
"383";"291520";26
"384";"291530";18
"385";"291535";32
"386";"291540";17
"387";"291550";49
"388";"291560";115
"389";"291570";29
"390";"291580";52
"391";"291590";16
"392";"291600";44
"393";"291610";90
"394";"291620";31
"395";"291630";26,5
"396";"291640";188,5
"397";"291650";49,5
"398";"291660";24
"399";"291670";31
"400";"291680";37,5
"401";"291685";35
"402";"291690";43
"403";"291700";42
"404";"291710";50
"405";"291720";42
"406";"291730";55
"407";"291733";15
"408";"291735";26
"409";"291740";37
"410";"291750";208
"411";"291760";107
"412";"291770";52
"413";"291780";34,5
"414";"291790";12
"415";"291800";498
"416";"291810";51
"417";"291820";33,5
"418";"291830";33
"419";"291835";46,5
"420";"291840";608
"421";"291845";26
"422";"291850";28
"423";"291855";22
"424";"291860";22
"425";"291870";13,5
"426";"291875";21,5
"427";"291880";35
"428";"291890";17
"429";"291900";9
"430";"291905";21
"431";"291910";8
"432";"291915";70
"433";"291920";455,5
"434";"291930";23
"435";"291940";24
"436";"291950";89
"437";"291955";132,5
"438";"291960";24
"439";"291970";33
"440";"291980";89,5
"441";"291990";25
"442";"291992";98,5
"443";"291995";24
"444";"292000";24
