"";"CODUFMUN";"medicos_g1";"medicos_g2";"medicos_g3"
"389";"431505";3;1;3
"390";"353400";15;2;7,5
"391";"351512";2;1;2
"392";"431335";7,5;1,5;5
"393";"311690";4,5;1;4,5
"394";"421085";4;1;4
"395";"431280";9;1;9
"396";"310760";9;1;9
"397";"313830";4;1;4
"398";"421555";2;1;2
"399";"522220";7;2;3,5
"400";"311970";4;1;4
"401";"354710";3;1;3
"402";"354620";9;2;4,5
"403";"520960";4;1;4
"404";"314040";4;1;4
"405";"241060";11;1;11
"406";"317110";5;1;5
"407";"521160";5;1;5
"408";"317030";2;1;2
"409";"312190";5;1;5
"410";"431795";3;1;3
"411";"170130";3;3;1
"412";"315010";8;2;4
"413";"411005";3;1;3
"414";"315330";6;1;6
"415";"350500";9;1;9
"416";"431238";4;1;4
"417";"354030";5;1;5
"418";"431200";3;1;3
"419";"240690";6;1;6
"420";"316810";7;1;7
"421";"351519";10;1;10
"422";"420515";2;1;2
"423";"312550";3;1;3
"424";"412420";7;4;1,75
"425";"432132";12;1;12
"426";"310700";9;2;4,5
"427";"120005";4;2;2
"428";"351610";6;1;6
"429";"430515";2,5;1;2,5
"430";"410270";3;1;3
"431";"522157";4;1;4
"432";"510729";4;1;4
"433";"430805";3;1;3
"434";"353040";7;NA;NA
"435";"430085";7;2;3,5
"436";"355120";4;1;4
"437";"310440";9,5;1;9,5
"438";"311900";7;2;3,5
"439";"314580";4;1;4
"440";"310380";6;2;3
"441";"312530";6;1;6
"442";"510269";5;2;2,5
"443";"353690";10;1;10
"444";"220915";1;1;1
"445";"350200";18;NA;NA
"446";"430367";9;1;9
"447";"352560";8;2;4
"448";"412395";5;2;2,5
"449";"430597";5;1;5
"450";"510715";3;1;3
"451";"521810";10;1;10
"452";"421140";9;1;9
"453";"350140";4;2;2
"454";"430105";30;NA;NA
"455";"171500";3;1;3
"456";"432350";4;1;4
"457";"312070";5;1;5
"458";"250550";2;1;2
"459";"314360";4;1;4
"460";"353220";7;2;3,5
"461";"412020";14;2;7
"462";"432045";5;1;5
"463";"172010";3;1;3
"464";"353325";8;NA;NA
"465";"353420";14;NA;NA
"466";"431198";5;NA;NA
"467";"510706";31;2;15,5
"468";"521565";9;1;9
"469";"315070";6;1;6
"470";"431912";4;1;4
"471";"355385";7;2;3,5
"472";"412590";6;1;6
"473";"430955";7;NA;NA
"474";"250590";2;2;1
"475";"311080";6;2;3
"476";"520396";2;1;2
"477";"280700";4;2;2
"478";"510060";10;1;10
"479";"510530";3;1;3
"480";"430645";32;1;32
"481";"351270";16;NA;NA
"482";"420055";3;1;3
"483";"521200";6;1;6
"484";"241240";8;2;4
"485";"431162";6;1,5;4
"486";"352450";57;3;19
"487";"354025";4;1;4
"488";"350240";5;2;2,5
"489";"431845";2;1;2
"490";"520505";7;1;7
"491";"241170";2;1;2
"492";"420005";2;1;2
"493";"310080";4;2;2
"494";"260740";8;1;8
"495";"314960";7;1;7
"496";"421227";8;4;2
"497";"421260";18;2;9
"498";"520570";3;1;3
"499";"312580";4;1;4
"500";"316090";6,5;1;6,5
"501";"430865";3;1;3
"502";"350020";11;1;11
"503";"430697";2;1;2
"504";"352265";3;2;1,5
"505";"353830";4;1;4
"506";"240390";2;1;2
"507";"350350";9;1;9
"508";"311960";9,5;1;9,5
"509";"290740";3;1;3
"510";"171665";3;2;1,5
"511";"411000";7;1;7
"512";"311590";6;1;6
"513";"431643";18;1;18
"514";"432183";5;1;5
"515";"421185";3;2;1,5
"516";"241110";9;2;4,5
"517";"432163";7,5;1;7,5
"518";"251220";3;2;1,5
"519";"354310";6;1;6
"520";"521030";7;1;7
"521";"150300";5;NA;NA
"522";"250840";7;2;3,5
"523";"120013";4;2;2
"524";"171880";1;1;1
"525";"421915";2;2;1
"526";"521920";8;1;8
"527";"280190";6;1;6
"528";"352540";3;1;3
"529";"352490";9;4;2,25
"530";"170110";2;1;2
"531";"430511";3;1;3
"532";"352080";7;2;3,5
"533";"312500";10;2;5
"534";"170650";2;2;1
"535";"350090";11,5;1;11,5
"536";"510615";8,5;3;2,83333333333333
"537";"251030";3;2;1,5
"538";"431575";23,5;4,5;5,22222222222222
